:large_blue_circle:*2025. 10.27.*

*<광자빔/양성자/중입자 치료기 관련 뉴스>*
🔸 *<https://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0200&key=20251022.22001005023|부산시, ‘꿈의 암치료’ 양성자치료센터 MOU 맺고 건립 박차>*  @국제신문  5일 전
🔸 *<https://www.dailyvet.co.kr/interview/260252|‘미국 못지않다’ 국내 반려동물 종양 방사선치료의 현재와 미래는>*  @데일리벳  6일 전
🔸 *<https://m.health.chosun.com/svc/news_view.html?contid=2025102203580|"방사선색전술, 초기 간암 환자도 가능… 활용도 높아질 것">*  @헬스조선  4일 전
🔸 *<http://www.bosa.co.kr/news/articleView.html?idxno=2260502|보스톤사이언티픽 '테라스피어' 급여 5주년 “韓 초기 간암 환자 97.9% 반응”>*  @의학신문  4일 전
🔸 *<https://www.kukinews.com/article/view/kuk202510220159|동맥 타고 암 정조준…‘테라스피어’ 간암 치료 효과 입증>*  @쿠키뉴스  4일 전
🔸 *<https://biz.chosun.com/en/en-entertainment/2025/10/22/TWL5VMRLZJFXRMPPPSN3VNPA5E/|Sayuri father battles prostate cancer and receives post‑surgery radiation therapy - CHOSUNBIZ>*  @Chosun Biz  4 days ago
🔸 *<https://www.sciencedirect.com/science/article/abs/pii/S1120179725003163|On the robustness of the Transit-Guided Radiation Therapy technique against variations in linac operating conditions>*  @ScienceDirect.com  3 days ago
🔸 *<https://med.stanford.edu/cancer/about/news/transforming-treatment--biology-guided-radiotherapy.html|Transforming treatment: Biology-guided radiotherapy at Stanford>*  @Stanford Medicine  6 days ago
🔸 *<https://www.apnnews.com/hcg-cancer-centre-hubballi-sets-a-new-benchmark-for-cancer-treatment-with-the-launch-of-elekta-versa-hd-machine/|HCG Cancer Centre Hubballi sets a new benchmark for cancer treatment with the launch of Elekta Versa HD Machine>*  @APN News  5 days ago

*<로봇수술 관련 뉴스>*
🔸 *<http://www.bosa.co.kr/news/articleView.html?idxno=2260500|스마트병원 사업 종료 이후 의료로봇 실증 ‘단절 우려’>*  @의학신문  4일 전
🔸 *<https://www.k-health.com/news/articleView.html?idxno=86176|“혁신의료기술로 누구나 치료혜택 누리는 세상 만들 것”>*  @헬스경향  4일 전
🔸 *<https://v.daum.net/v/20251026165505011|“대구, 첨단산업 도시로 도약”…의료·로봇·모빌리티 3대 비전 본격화>*  @Daum  15시간 전
🔸 *<https://www.thebionews.net/news/articleView.html?idxno=18988|리브스메드, 증권신고서 제출·연내 코스닥 상장…AI·로봇 수술 글로벌 확장>*  @더바이오  5일 전
🔸 *<https://dealsite.co.kr/articles/149924|'스톤브릿지 투자' 코넥티브, 차세대 유니콘 후보 선정>*  @딜사이트  5일 전
🔸 *<https://www.mk.co.kr/en/it/11443613|An endoscopic surgical robot developed by a Korean start-up has been approved by the U.S. Food and D..>*  @매일경제  5 days ago
🔸 *<https://med-techinsights.com/2025/10/21/intuitive-opens-ks-largest-robotic-assisted-surgery-training-centre/|Intuitive opens UK’s largest robotic-assisted surgery training centre>*  @Med-Tech Insights  5 days ago
🔸 *<https://theconversation.com/a-flexible-lens-controlled-by-light-activated-artificial-muscles-promises-to-let-soft-machines-see-268064|A flexible lens controlled by light-activated artificial muscles promises to let soft machines see>*  @The Conversation  4 days ago
🔸 *<https://siliconcanals.com/novanta-hosts-iso-event-for-humanoid-robot-safety-standards/|Novanta Hosts ISO event for Humanoid Robot Safety Standards>*  @Silicon Canals  2 days ago
🔸 *<https://news.cgtn.com/news/2025-10-21/Healing-without-borders-A-Chinese-doctor-reaches-Benin-via-robotic-surgery-1HE98bkX3ji/p.html|Healing without borders: A Chinese doctor reaches Benin via robotic surgery>*  @CGTN  5 days ago

*<의료기기 인허가>*
🔸 *<https://www.medigatenews.com/news/2092500686|아스테라시스, 피부 미용의료기기 '쿨페이즈' 美 FDA 510K 승인>*  @MEDI:GATE NEWS  5일 전
🔸 *<https://www.newsis.com/view/NISX20251023_0003374697|"의료기기, 식약처와 초기부터 함께해야"…현장서 제언>*  @뉴시스  3일 전
🔸 *<https://www.k-health.com/news/articleView.html?idxno=86066|인공무릎 등 희귀·특수진료기기, 95%는 수입산…에크모는 100% 전량 수입>*  @헬스경향  5일 전
🔸 *<https://www.bizhankook.com/bk/article/30588|국감서 '인체조직 스킨부스터' 미용 목적 사용 질책…보건당국 "관련 기관과 검토">*  @비즈한국  3일 전
🔸 *<https://www.ynenews.kr/news/articleView.html?idxno=70188|케이메디허브-첨단의료기기개발 자문위원회 발족>*  @영남경제  6일 전

*<의료로봇/기기 업계 동향>*
🔸 *<http://www.bosa.co.kr/news/articleView.html?idxno=2260354|미 3Q 디지털 헬스 투자, 작업흐름 ‘인기’>*  @의학신문  4일 전
🔸 *<https://v.daum.net/v/20251022000736490|원주 첨단의료복합단지 유치 재도전 본격화>*  @Daum  5일 전
🔸 *<https://www.widedaily.com/news/articleView.html?idxno=280872|[특징주] 더블유에스아이, 오너리스크 해소에 투자심리 개선…의료로봇 ‘유봇’ 기대감 부각>*  @와이드경제  3일 전
🔸 *<https://dealsite.co.kr/articles/149924|'스톤브릿지 투자' 코넥티브, 차세대 유니콘 후보 선정>*  @딜사이트  5일 전
🔸 *<https://www.thebionews.net/news/articleView.html?idxno=18988|리브스메드, 증권신고서 제출·연내 코스닥 상장…AI·로봇 수술 글로벌 확장>*  @더바이오  5일 전
