★2025. 5.12.

<광자빔/양성자/중입자 치료기 관련 뉴스>
🔸 <https://www.joongang.co.kr/article/25333806|"벌써 암 치료 끝? 옷 갈아입는 시간보다 짧았다"…중입자치료 2년>  @중앙일보  6일 전
🔸 <http://www.medifonews.com/news/article.html?no=202505|아주대병원-Varian사와 전략적 파트너십 협약 체결>  @메디포뉴스  4일 전
🔸 <https://www.vietnam.vn/ko/he-thong-xa-phau-bang-robot-tich-hop-ai-dieu-tri-ung-thu-khong-xam-lan|비침습적 암 치료를 위한 AI 통합 로봇 방사선 수술 시스템>  @Vietnam.vn  3일 전
🔸 <https://it.chosun.com/news/articleView.html?idxno=2023092140077|치료병원 한 곳인데… 6천만원 항암치료, 보험사 특약 경쟁>  @IT조선  4일 전
🔸 <https://www.itnonline.com/content/ge-healthcare-expands-radiation-oncology-portfolio-introduces-new-ai-solutions|GE HealthCare Expands Radiation Oncology Portfolio, Introduces New AI Solutions>  @Imaging Technology News  3일 전
🔸 <https://www.oncologynewscentral.com/video/radiation-oncology/nothing-is-going-in-a-positive-direction-financial-woes-hammer-radiation-oncology|“Nothing Is Going in a Positive Direction:” Financial Woes Hammer Radiation Oncology>  @Oncology News Central  4일 전
🔸 <https://www.bioworld.com/articles/719650-oncosils-brachytherapy-device-outperforms-sbrt-in-pancreatic-cancer|Oncosil’s brachytherapy device outperforms SBRT in pancreatic cancer>  @BioWorld MedTech  3일 전
🔸 <https://www.indiatoday.in/health/story/new-cancer-tech-helps-make-radiation-therapy-faster-with-real-time-tumour-tracking-2719754-2025-05-05|India gets first-of-its-kind tech that tracks cancer tumours in real-time>  @India Today  6일 전
🔸 <https://www.cureus.com/articles/352502-pacemaker-malfunction-triggered-by-cybersecurity-activation-during-carbon-ion-radiotherapy-a-case-report|Pacemaker Malfunction Triggered by Cybersecurity Activation During Carbon Ion Radiotherapy: A Case Report>  @Cureus  1일 전

<로봇수술 관련 뉴스>
🔸 <https://www.hitnews.co.kr/news/articleView.html?idxno=64363|수술보조 의료로봇 개발 등 신규과제 공고...5년간 175억 지원>  @히트뉴스  2일 전
🔸 <https://m.dongascience.com/news.php?idx=71413|머스크도 전망한 수술로봇 시대…국산 로봇은 왜 아직 뜨지 못할까>  @동아사이언스  4일 전
🔸 <https://www.newsis.com/view/NISX20250507_0003165469|'AI·로봇기술 디지털 의료기기' 관련 가이드라인 제·개정>  @뉴시스  4일 전
🔸 <https://www.medicaltimes.com/Mobile/News/NewsView.html?ID=1163463|"외과 수술의 완성은 초음파…최신 기술 경연장 마련">  @메디칼타임즈  2일 전
🔸 <https://www.pharmnews.com/news/articleView.html?idxno=260114|이지메디봇, ‘바이오 코리아 2025’에서 수술로봇 '유봇' 공개>  @팜뉴스  2일 전
🔸 <https://www.mobihealthnews.com/news/asia/robotic-surgery-upskilling-korea-india-and-more-briefs|Robotic surgery upskilling in Korea, India and more briefs>  @MobiHealthNews  3일 전
🔸 <https://www.precedenceresearch.com/press-release/healthcare-service-robots-market|Healthcare Service Robots Market Revenue to Attain USD 8.60 Bn by 2033>  @Precedence Research  6일 전
🔸 <https://www.globenewswire.com/news-release/2025/05/06/3074749/0/en/The-Professional-Service-Robots-Market-Focused-Insights-2025-2030-Featuring-Strategic-Analysis-of-Key-Players-ABB-Exail-SoftBank-Robotics-Group-Honda-Motor-FANUC-and-More.html|The Professional Service Robots Market: Focused Insights 2025-2030 Featuring Strategic Analysis of Key Players - ABB, Exail, SoftBank Robotics Group, Honda Motor, FANUC and More>  @GlobeNewswire  5일 전
🔸 <https://www.digitimes.com/news/a20250505PD229/ptic-robot-stn-subsidiary-lcd-panel.html|PTIC expands into new markets with robot vacuum cleaners and drones>  @digitimes  6일 전
🔸 <https://www.techbriefs.com/component/content/article/53079-a-robot-that-can-act-like-a-squirrel|A Robot that Can Act Like a Squirrel>  @Tech Briefs  4일 전

<의료기기 인허가>
🔸 <https://www.news1.kr/bio/general/5774774|식약처, 디지털의료기기 허가·심사 시 기술문서 작성법 안내한다>  @뉴스1  4일 전
🔸 <http://www.hitnews.co.kr/news/articleView.html?idxno=64226|바임, '쥬베룩' 러시아 의료기기 허가 획득>  @히트뉴스  4일 전
🔸 <https://www.k-health.com/news/articleView.html?idxno=80919|“건강기능식품·의료기기 글로벌 진출 위해서는 맞춤형 임상 필수”>  @헬스경향  3일 전
🔸 <https://www.newsis.com/view/NISX20250507_0003165469|'AI·로봇기술 디지털 의료기기' 관련 가이드라인 제·개정>  @뉴시스  4일 전

<의료로봇/기기 업계 동향>
🔸 <https://www.unicornfactory.co.kr/article/2025050917021674886|"의료기기 스타트업 투자"…제이앤피메디-젠티움파트너스 맞손>  @유니콘팩토리  1일 전
🔸 <https://mdtoday.co.kr/news/view/1065591251591166?_ref=nate|젠티움파트너스-제이앤피메디, 중기부 모태펀드 루키리그 선정… 美 FDA 진출 의료기기 스타트업 글로벌 진출 지원 펀드 출범>  @메디컬투데이  2일 전
🔸 <https://www.etnews.com/20250508000047|덴마크 오덴세, 獨 뮌헨 로봇 전시회 'automatica 2025'서 투자서밋 개최… 전시회 참관객 무료 입장>  @전자신문  3일 전
🔸 <https://www.medigatenews.com/news/1120806975|젠엑시스, 첨단 생체재료 기반 융복합의료제품 개발 스타트업 오랜드바이오에 투자>  @MEDI:GATE NEWS  3일 전
🔸 <http://www.bosa.co.kr/news/articleView.html?idxno=2248174|의료산업 선도기업, 코스닥 날개 달고 성장 플랜 완성한다>  @의학신문  1일 전
